0,1,2,3,4,5,6,7,8,9,10
,"Overall Length
",,,"11-1-7719
",,,,,,
,"Riser Leg Offset
",,"1/4
","11-1-7719
",,"G4
",,,,
,"Glue - Riser set - Check
thread presents

","GO/NO GO .

","11-1-7719
",,"B2/B5
",,,,,
"ne Inspection Notes:

",,,,,,,,,,
,,,,,,,,,,
,"Overall Length

","47 1/2
","48 1/2
","11-1-7729
",,,,,,
"Webbing Leg Offset
",,"1/4
","11-1-7729
",,,,,,,
,"Riser Set Offset

",,"1/2
","11-31-7729
",,,,,,
,"Glue - Riser Set - 11R - Check
for Thread presents

","GO/NO GO

","11-1-7729
",,"Several
",,,,,
,"Glue - Spreader bar - Check
for ""WW"" thread

","GO/NO GO

","11-1-7729
",,"Several
",,,,,
"sua Inspection Notes:

",,,,,,,,,,
